"omitted_year","homicide_group","homicide_group_label","full_model_adjusted_odds_ratio","leave_one_year_out_adjusted_odds_ratio","percent_change_from_full_model"
2022,"filicide_days_7_through_364","Infant filicide, 7-364 days",5.23336169542707,5.2912253893094,1.10566968709394
2022,"filicide_years_1_through_4","Filicide, 1-4 years",9.75603590567557,9.69329329208388,-0.643115853593612
2022,"filicide_years_5_through_9","Filicide, 5-9 years",9.82974693090289,9.63879826270393,-1.94255935113299
2022,"filicide_years_10_through_14","Filicide, 10-14 years",7.02800329189536,6.5916470756019,-6.20882202483688
2022,"filicide_years_15_through_17","Filicide, 15-17 years",5.06957726037467,5.0164196094799,-1.0485618063317
2023,"filicide_birth_through_6_days","Filicide, birth-6 days",15.8030058331863,15.5086819696998,-1.86245494428923
2023,"filicide_days_7_through_364","Infant filicide, 7-364 days",5.23336169542707,4.97576502913603,-4.92220261626725
2023,"filicide_years_1_through_4","Filicide, 1-4 years",9.75603590567557,9.51934722513007,-2.42607430757618
2023,"filicide_years_5_through_9","Filicide, 5-9 years",9.82974693090289,9.75373824681025,-0.773251688237053
2023,"filicide_years_10_through_14","Filicide, 10-14 years",7.02800329189536,6.88366115896844,-2.0538142475455
2023,"filicide_years_15_through_17","Filicide, 15-17 years",5.06957726037467,4.88286564403792,-3.68298196767096
2024,"filicide_birth_through_6_days","Filicide, birth-6 days",15.8030058331863,16.0801423368326,1.75369487660599
2024,"filicide_days_7_through_364","Infant filicide, 7-364 days",5.23336169542707,5.12490586492722,-2.07239317310367
2024,"filicide_years_1_through_4","Filicide, 1-4 years",9.75603590567557,9.61498585914415,-1.44577211374721
2024,"filicide_years_5_through_9","Filicide, 5-9 years",9.82974693090289,10.1668986938819,3.42991295044539
2024,"filicide_years_10_through_14","Filicide, 10-14 years",7.02800329189536,7.1328387716701,1.49168228045133
2024,"filicide_years_15_through_17","Filicide, 15-17 years",5.06957726037467,5.4215569782172,6.9429796561878
2025,"filicide_birth_through_6_days","Filicide, birth-6 days",15.8030058331863,16.5992024818414,5.03826080341692
2025,"filicide_days_7_through_364","Infant filicide, 7-364 days",5.23336169542707,5.0682049796942,-3.15584370706093
2025,"filicide_years_1_through_4","Filicide, 1-4 years",9.75603590567557,9.69028574812453,-0.673943373996744
2025,"filicide_years_5_through_9","Filicide, 5-9 years",9.82974693090289,9.45578558829861,-3.80438423525045
2025,"filicide_years_10_through_14","Filicide, 10-14 years",7.02800329189536,6.7905500947295,-3.37867225303788
2025,"filicide_years_15_through_17","Filicide, 15-17 years",5.06957726037467,5.53780892276306,9.23610862089492
